movie_index,genres,keywords,production_year,title,director,writer,actors
14,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,2013,man of steel,zacksnyder,"davids.goyer ,davids.goyer ,christophernolan ,jerrysiegel ,joeshuster ","henrycavill,amyadams,michaelshannon,dianelane"
15,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,2008,the chronicles of narnia: prince caspian,andrewadamson,"andrewadamson ,christophermarkus ,stephenmcfeely ,c.s.lewis ","benbarnes,georgiehenley,skandarkeynes,williammoseley"
16,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,2012,the avengers,josswhedon,"josswhedon ,zakpenn ,josswhedon ","robertdowneyjr.,chrisevans,markruffalo,chrishemsworth"
17,Adventure Action Fantasy,sea captain mutiny sword prime minister,2011,pirates of the caribbean: on stranger tides,robmarshall,"tedelliott ,terryrossio ,tedelliott ,terryrossio ,tedelliott ,terryrossio ,stuartbeattie ,jaywolpert ,timpowers ","johnnydepp,penã©lopecruz,geoffreyrush,ianmcshane"
18,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,2012,men in black 3,barrysonnenfeld,"etancohen,lowellcunningham ","willsmith,tommyleejones,joshbrolin,jemaineclement"
19,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),2014,the hobbit: the battle of the five armies,peterjackson,"franwalsh ,philippaboyens ,peterjackson ,guillermodeltoro ,j.r.r.tolkien ","ianmckellen,martinfreeman,richardarmitage,kenstott"
20,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,2012,the amazing spider-man,marcwebb,"jamesvanderbilt ,alvinsargent ,stevekloves ,jamesvanderbilt ,stanlee(basedonthemarvelcomicbookby),steveditko(basedonthemarvelcomicbookby)","andrewgarfield,emmastone,rhysifans,denisleary"
21,Action Adventure,robin hood archer knight sherwood forest bow and arrow,2010,robin hood,ridleyscott,"brianhelgeland ,brianhelgeland ,ethanreiff ,cyrusvoris ","russellcrowe,cateblanchett,maxvonsydow,williamhurt"
22,Adventure Fantasy,elves dwarves orcs hobbit dragon,2013,the hobbit: the desolation of smaug,peterjackson,"franwalsh ,philippaboyens ,peterjackson ,guillermodeltoro ,j.r.r.tolkien ","ianmckellen,martinfreeman,richardarmitage,kenstott"
23,Adventure Fantasy,england compass experiment lordship uncle,2007,the golden compass,chrisweitz,"chrisweitz ,philippullman ","nicolekidman,danielcraig,dakotabluerichards,benwalker"
24,Adventure Drama Action,film business screenplay show business film making film producer,2005,king kong,peterjackson,"franwalsh ,philippaboyens ,peterjackson ,merianc.cooper(basedonastoryby),edgarwallace(basedonastoryby)","naomiwatts,jackblack,adrienbrody,thomaskretschmann"
25,Drama Romance Thriller,shipwreck iceberg ship panic titanic,1997,titanic,jamescameron,jamescameron,"leonardodicaprio,katewinslet,billyzane,kathybates"
26,Adventure Action Science Fiction,civil war war marvel comic sequel superhero,2016,captain america: civil war,"anthonyrusso,joerusso","christophermarkus ,stephenmcfeely ,joesimon ,jackkirby ","chrisevans,robertdowneyjr.,scarlettjohansson,sebastianstan"
27,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,2012,battleship,peterberg,"jonhoeber,erichhoeber","taylorkitsch,alexanderskarsgã¥rd,rihanna,brooklyndecker"
28,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,2015,jurassic world,colintrevorrow,"rickjaffa ,amandasilver ,colintrevorrow ,derekconnolly ,rickjaffa ,amandasilver ,michaelcrichton(basedonthecharacterscreatedby)","chrispratt,brycedallashoward,irrfankhan,vincentd'onofrio"
29,Action Adventure Thriller,spy secret agent sociopath killer art gallery,2012,skyfall,sammendes,"nealpurvis,robertwade,johnlogan,ianfleming ","danielcraig,judidench,javierbardem,ralphfiennes"
30,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,2004,spider-man 2,samraimi,"stanlee(comicbook),steveditko(comicbook),alfredgough ,milesmillar ,michaelchabon ,alvinsargent ","tobeymaguire,kirstendunst,jamesfranco,alfredmolina"
31,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,2013,iron man 3,shaneblack,"drewpearce ,shaneblack ,stanlee(basedonthemarvelcomicbookby),donheck(basedonthemarvelcomicbookby),larrylieber(basedonthemarvelcomicbookby),jackkirby(basedonthemarvelcomicbookby),warrenellis(basedonthe""extremis""mini-serieswrittenby),adigranov(basedonthe""extremis""mini-seriesillustratedby)","robertdowneyjr.,gwynethpaltrow,doncheadle,guypearce"
32,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,2010,alice in wonderland,timburton,"lindawoolverton ,lewiscarroll(books)","johnnydepp,miawasikowska,helenabonhamcarter,annehathaway"
33,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,2006,x-men: the last stand,brettratner,"simonkinberg,zakpenn","hughjackman,halleberry,ianmckellen,patrickstewart"
34,Animation Family,monster dormitory games animation best friend,2013,monsters university,danscanlon,"danscanlon ,danielgerson ,robertl.baird ,danielgerson ,robertl.baird ,danscanlon ,adrianmolina(additionalscreenplaymaterialby)","billycrystal,johngoodman,stevebuscemi,helenmirren"
35,Science Fiction Action Adventure,egypt sun chaos symbol artifact,2009,transformers: revenge of the fallen,michaelbay,"ehrenkruger,robertoorci,alexkurtzman","shialabeouf,meganfox,joshduhamel,tyresegibson"
36,Science Fiction Action Adventure,sequel alien transformers giant robot robot,2014,transformers: age of extinction,michaelbay,ehrenkruger,"markwahlberg,stanleytucci,kelseygrammer,nicolapeltz"
37,Fantasy Adventure Family,circus witch magic hope illusion,2013,oz: the great and powerful,samraimi,"mitchellkapner ,davidlindsay-abaire ,mitchellkapner ,l.frankbaum(""oz""works)","jamesfranco,milakunis,rachelweisz,michellewilliams"
38,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,2014,the amazing spider-man 2,marcwebb,"alexkurtzman ,robertoorci ,jeffpinkner ,alexkurtzman ,robertoorci ,jeffpinkner ,jamesvanderbilt ,stanlee ,steveditko ","andrewgarfield,emmastone,jamiefoxx,danedehaan"
39,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,2010,tron: legacy,josephkosinski,"edwardkitsis ,adamhorowitz ,edwardkitsis ,adamhorowitz ,brianklugman ,leesternthal ,stevenlisberger ,bonniemacbird ","jeffbridges,garretthedlund,oliviawilde,bruceboxleitner"
40,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,2011,cars 2,"johnlasseter,bradfordlewis(co-director)","johnlasseter(originalstoryby),bradfordlewis(originalstoryby),danfogelman(originalstoryby),benqueen ","larrythecableguy,owenwilson,michaelcaine,emilymortimer"
41,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,2011,green lantern,martincampbell,"gregberlanti ,michaelgreen ,marcguggenheim ,michaelgoldenberg ,gregberlanti ,michaelgreen ,marcguggenheim ","ryanreynolds,blakelively,petersarsgaard,markstrong"
42,Animation Family Comedy,hostage college toy barbie animation,2010,toy story 3,leeunkrich,"johnlasseter ,andrewstanton ,leeunkrich ,michaelarndt ","tomhanks,timallen,joancusack,nedbeatty"
43,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,2009,terminator salvation,mcg,"johnbrancato,michaelferris","christianbale,samworthington,moonbloodgood,helenabonhamcarter"
44,Action,car race speed revenge suspense car,2015,furious 7,jameswan,"chrismorgan,garyscottthompson ","vindiesel,paulwalker,jasonstatham,michellerodriguez"
45,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,2013,world war z,marcforster,"matthewmichaelcarnahan ,drewgoddard ,damonlindelof ,matthewmichaelcarnahan ,j.michaelstraczynski ,maxbrooks(basedonthenovelby)","bradpitt,mireilleenos,daniellakertesz,jamesbadgedale"
46,Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,2014,x-men: days of future past,bryansinger,"simonkinberg ,janegoldman ,simonkinberg ,matthewvaughn ","hughjackman,jamesmcavoy,michaelfassbender,jenniferlawrence"
47,Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,2013,star trek into darkness,j.j.abrams,"robertoorci,alexkurtzman,damonlindelof,generoddenberry","chrispine,zacharyquinto,zoesaldana,karlurban"
48,Action Family Fantasy,based on fairy tale giant,2013,jack the giant slayer,bryansinger,"darrenlemke ,christophermcquarrie ,danstudney ,darrenlemke ,daviddobkin ","nicholashoult,eleanortomlinson,ewanmcgregor,stanleytucci"
49,Drama Romance,based on novel infidelity obsession hope 3d,2013,the great gatsby,bazluhrmann,"bazluhrmann ,craigpearce ,f.scottfitzgerald(basedonthenovelby)","lisaadam,frankaldridge,amitabhbachchan,stevebisley"
50,Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,2010,prince of persia: the sands of time,mikenewell,"boazyakin ,dougmiro ,carlobernard ,jordanmechner ,jordanmechner(videogameseries""princeofpersia"")","jakegyllenhaal,gemmaarterton,benkingsley,alfredmolina"
51,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,2013,pacific rim,guillermodeltoro,"travisbeacham ,guillermodeltoro ,travisbeacham ","charliehunnam,diegoklattenhoff,idriselba,rinkokikuchi"
52,Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,2011,transformers: dark of the moon,michaelbay,ehrenkruger,"shialabeouf,rosiehuntington-whiteley,joshduhamel,johnturturro"
53,Adventure Action,saving the world riddle whip treasure mexico city,2008,indiana jones and the kingdom of the crystal skull,stevenspielberg,"davidkoepp ,georgelucas ,jeffnathanson ,georgelucas ,philipkaufman ","harrisonford,cateblanchett,karenallen,shialabeouf"
54,Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,2015,the good dinosaur,petersohn,"bobpeterson(originalconcept&developmentby),petersohn ,erikbenson ,meglefauve ,kelseymann ,bobpeterson ,meglefauve ,peterhedges(additionalscreenplaymaterialby),adrianmolina(additionalscreenplaymaterialby)","jeffreywright,francesmcdormand,maleahnipay-padilla,ryanteeple"
55,Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,2012,brave,"markandrews,brendachapman,stevepurcell(co-director)","brendachapman ,markandrews ,stevepurcell ,brendachapman ,irenemecchi ","kellymacdonald,billyconnolly,emmathompson,juliewalters"
56,Action Adventure Science Fiction,sequel stranded hatred space opera,2016,star trek beyond,justinlin,"simonpegg,dougjung,generoddenberry(basedupon""startrek""createdby)","chrispine,zacharyquinto,karlurban,zoesaldana"
57,Animation Family,romantic comedy,2008,wallâ·e,andrewstanton,"andrewstanton(originalstoryby),petedocter(originalstoryby),andrewstanton ,jimreardon ","benburtt,elissaknight,jeffgarlin,fredwillard"
58,Action Comedy Crime Thriller,ambassador,2007,rush hour 3,brettratner,"jeffnathanson,rosslamanna ","christucker,jackiechan,maxvonsydow,hiroyukisanada"
59,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,2009,2012,rolandemmerich,"rolandemmerich,haraldkloser","johncusack,amandapeet,chiwetelejiofor,thandienewton"
60,Animation Drama,holiday based on novel victorian england money christmas eve,2009,a christmas carol,robertzemeckis,"charlesdickens(basedontheclassicstoryby),robertzemeckis(writtenforthescreenby)","jimcarrey,stevevalentine,darylsabara,sageryan"
61,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,2015,jupiter ascending,"lanawachowski,lillywachowski","lillywachowski,lanawachowski","milakunis,channingtatum,seanbean,eddieredmayne"
62,Action Adventure,africa feral child tarzan jungle animal attack,2016,the legend of tarzan,davidyates,"adamcozad ,craigbrewer ,craigbrewer ,adamcozad ,edgarriceburroughs(basedonthe""tarzan""storiescreatedby)","alexanderskarsgã¥rd,roryj.saper,christianstevens,christophwaltz"
63,Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,2005,"the chronicles of narnia: the lion, the witch and the wardrobe",andrewadamson,"annpeacock ,andrewadamson ,christophermarkus ,stephenmcfeely ,c.s.lewis(book)","georgiehenley,skandarkeynes,williammoseley,annapopplewell"
64,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,2016,x-men: apocalypse,bryansinger,"simonkinberg ,bryansinger ,simonkinberg ,michaeldougherty ,danharris ","jamesmcavoy,michaelfassbender,jenniferlawrence,nicholashoult"
65,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,2008,the dark knight,christophernolan,"jonathannolan ,christophernolan ,christophernolan ,davids.goyer ,bobkane ","christianbale,heathledger,aaroneckhart,michaelcaine"
66,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,2009,up,"petedocter,bobpeterson(co-director)","petedocter ,bobpeterson ,tommccarthy ,bobpeterson ,petedocter ","edwardasner,christopherplummer,jordannagai,bobpeterson"
67,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,2009,monsters vs aliens,peterramsey,"adamf.goldberg ,conradvernon ,robletterman ","reesewitherspoon,sethrogen,hughlaurie,willarnett"
68,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,2008,iron man,jonfavreau,"markfergus ,hawkostby ,artmarcum ,mattholloway ,stanlee ,donheck ,larrylieber ,jackkirby ","robertdowneyjr.,terrencehoward,jeffbridges,gwynethpaltrow"
69,Adventure Drama Family,library clock film director key toy,2011,hugo,martinscorsese,"johnlogan ,brianselznick(basedonthebookentitled""theinventionofhugocabret""by)","benkingsley,sachabaroncohen,asabutterfield,chloã«gracemoretz"
70,Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,1999,wild wild west,barrysonnenfeld,"jimthomas ,johnthomas ,s.s.wilson ,brentmaddock ,jeffreyprice ,peters.seaman ","willsmith,kevinkline,kennethbranagh,salmahayek"
71,Adventure Action Fantasy,,2008,the mummy: tomb of the dragon emperor,robcohen,"alfredgough,milesmillar","brendanfraser,jetli,mariabello,johnhannah"
72,Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,2016,suicide squad,davidayer,davidayer,"willsmith,jaimefitzsimons,ikebarinholtz,margotrobbie"
73,Fantasy Comedy Family,father son relationship daily life married couple support father,2007,evan almighty,tomshadyac,"steveoedekerk ,steveoedekerk ,joelcohen ,alecsokolow ,stevekoren ,marko'keefe ","stevecarell,morganfreeman,laurengraham,johnnysimmons"
74,Action Science Fiction,deja vu time warp restart dystopia war,2014,edge of tomorrow,dougliman,"christophermcquarrie ,jezbutterworth ,john-henrybutterworth ,hiroshisakurazaka(basedonthenovel""allyouneediskill""by)","tomcruise,emilyblunt,brendangleeson,billpaxton"
75,Adventure Action,ocean tattoo mutant water dystopia,1995,waterworld,kevinreynolds,"peterrader,davidtwohy","kevincostner,chaimjeraffi,rickaviles,r.d.call"
76,Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,2009,g.i. joe: the rise of cobra,stephensommers,"stuartbeattie ,davidelliot ,paullovett ,michaelb.gordon ,stuartbeattie ,stephensommers ","adewaleakinnuoye-agbaje,christophereccleston,grã©goryfitoussi,josephgordon-levitt"
77,Drama Comedy Animation Family,dream cartoon imaginary friend animation family,2015,inside out,"petedocter,ronniedelcarmen(co-director)","petedocter(originalstoryby),ronniedelcarmen(originalstoryby),petedocter ,meglefauve ,joshcooley ,michaelarndt(additionalstorymaterialby),simonrich(additionalstorymaterialby),billhader(additionaldialogueby),amypoehler(additionaldialogueby)","amypoehler,phyllissmith,richardkind,billhader"
78,Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,2016,the jungle book,jonfavreau,"justinmarks ,rudyardkipling(basedonthebooksby)","neelsethi,billmurray,benkingsley,idriselba"
79,Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,2010,iron man 2,jonfavreau,"justintheroux ,stanlee ,donheck ,larrylieber ,jackkirby ","robertdowneyjr.,gwynethpaltrow,doncheadle,scarlettjohansson"
80,Adventure Fantasy Drama,queen magic fairy tale immortality forest,2012,snow white and the huntsman,rupertsanders,"evandaugherty ,johnleehancock ,hosseinamini ,evandaugherty ","kristenstewart,chrishemsworth,charlizetheron,samclaflin"
81,Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,2014,maleficent,robertstromberg,"lindawoolverton ,charlesperrault(basedon""labelleauboisdormant""writtenby)","angelinajolie,ellefanning,sharltocopley,lesleymanville"
82,Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,2014,dawn of the planet of the apes,mattreeves,"markbomback,rickjaffa,amandasilver,rickjaffa(basedoncharacterscreatedby),amandasilver(basedoncharacterscreatedby)","andyserkis,jasonclarke,garyoldman,kerirussell"
83,Action Adventure Science Fiction Romance,,2015,the lovers,rolandjoffã©,"ajeyjhankar ,rolandjoffã©","joshhartnett,bipashabasu,tamsinegerton,jamesmackay"
84,Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,2013,47 ronin,carlrinsch,"chrismorgan ,hosseinamini ,chrismorgan(screenstoryby),walterhamada(screenstoryby)","keanureeves,hiroyukisanada,koshibasaki,tadanobuasano"
85,Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,2014,captain america: the winter soldier,"anthonyrusso,joerusso","christophermarkus ,stephenmcfeely ,joesimon ,jackkirby ","chrisevans,samuell.jackson,scarlettjohansson,robertredford"
86,Comedy Adventure Fantasy Animation Family,ogre 3d,2010,shrek forever after,mikemitchell,"williamsteig(baseduponthebookby),joshklausner,darrenlemke,mattshire(punch-upwriter),alejandrobien-willner(punch-upwriter)","mikemyers,eddiemurphy,camerondiaz,antoniobanderas"
87,Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,2015,tomorrowland,bradbird,"damonlindelof ,bradbird ,damonlindelof ,bradbird ,jeffjensen ","georgeclooney,hughlaurie,brittrobertson,raffeycassidy"
88,Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,2014,big hero 6,"donhall,chriswilliams","jordanroberts ,robertl.baird ,danielgerson ,manofaction(bighero6teamandcharacterscreatedby),stevent.seagle ,duncanrouleau ","scottadsit,ryanpotter,danielhenney,t.j.miller"
89,Family Animation Comedy Adventure,support group product placement bullying racing arcade,2012,wreck-it ralph,richmoore,"richmoore ,philjohnston ,jimreardon ,philjohnston ,jenniferlee ","johnc.reilly,sarahsilverman,jackmcbrayer,janelynch"
90,Adventure Animation Family Fantasy,santa claus nerd faith gift bell,2004,the polar express,robertzemeckis,"chrisvanallsburg(book),robertzemeckis ,williambroylesjr. ","tomhanks,lesliezemeckis,eddiedeezen,nonagaye"
91,Action Adventure Science Fiction,alternate history alien invasion,2016,independence day: resurgence,rolandemmerich,"nicolaswright ,jamesa.woods ,deandevlin ,rolandemmerich ,jamesvanderbilt ,deandevlin ,rolandemmerich ,nicolaswright ,jamesa.woods ,deandevlin(basedoncharacterscreatedby),rolandemmerich(basedoncharacterscreatedby)","liamhemsworth,jeffgoldblum,jessiet.usher,billpullman"
92,Fantasy Adventure Animation Family,flying blacksmith arena island night,2010,how to train your dragon,"deandeblois,chrissanders","williamdavies ,deandeblois ,chrissanders ,cressidacowell(basedonthebookby),marchyman(collaboratingwriter)","jaybaruchel,gerardbutler,craigferguson,americaferrera"
93,Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,2003,terminator 3: rise of the machines,jonathanmostow,"jamescameron ,galeannehurd ,johnbrancato ,michaelferris ,tedisarafian ,johnbrancato ,michaelferris ","arnoldschwarzenegger,nickstahl,clairedanes,kristannaloken"
94,Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,2014,guardians of the galaxy,jamesgunn,"jamesgunn,nicoleperlman,danabnett ,andylanning ,billmantlo(charactercreatedby:rocketraccoon),keithgiffen(charactercreatedby:rocketraccoon),jimstarlin(characterscreatedby:draxthedestroyer,gamora&thanos),steveenglehart(charactercreatedby:star-lord),stevegan(charactercreatedby:star-lord),stevegerber(charactercreatedby:howardtheduck),valmayerik(charactercreatedby:howardtheduck)","chrispratt,zoesaldana,davebautista,vindiesel"
95,Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,2014,interstellar,christophernolan,"jonathannolan,christophernolan","ellenburstyn,matthewmcconaughey,mackenziefoy,johnlithgow"
96,Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,2010,inception,christophernolan,christophernolan,"leonardodicaprio,josephgordon-levitt,ellenpage,tomhardy"
97,Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,2016,shin godzilla,"hideakianno,shinjihiguchi(co-director)","hideakianno,seanwhitley","hirokihasegawa,yutakatakenouchi,satomiishihara,renosugi"
98,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),2012,the hobbit: an unexpected journey,peterjackson,"franwalsh ,philippaboyens ,peterjackson ,guillermodeltoro ,j.r.r.tolkien ","ianmckellen,martinfreeman,richardarmitage,kenstott"
99,Action Crime Thriller,street gang car race undercover auto-tuning los angeles,2001,the fast and the furious,robcohen,"kenli(magazinearticle""racerx""),garyscottthompson ,garyscottthompson ,erikbergquist ,davidayer ","paulwalker,vindiesel,michellerodriguez,jordanabrewster"
100,Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,2008,the curious case of benjamin button,davidfincher,"ericroth ,ericroth ,robinswicord ,f.scottfitzgerald(shortstory)","cateblanchett,bradpitt,juliaormond,faunechamberswatkins"
101,Action Science Fiction Adventure,cia mutant mine marvel comic superhero,2011,x-men: first class,matthewvaughn,"ashleymiller ,zackstentz ,janegoldman ,matthewvaughn ,sheldonturner ,bryansinger ","jamesmcavoy,laurencebelcher,michaelfassbender,billmilner"
102,Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,2015,the hunger games: mockingjay - part 2,francislawrence,"petercraig ,dannystrong ,suzannecollins(adaptation),suzannecollins ","jenniferlawrence,joshhutcherson,liamhemsworth,woodyharrelson"
103,Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,2010,the sorcerer's apprentice,jonturteltaub,"lawrencekonner ,markrosenthal ,mattlopez ,mattlopez ,dougmiro ,carlobernard ","nicolascage,jaybaruchel,alfredmolina,teresapalmer"
104,Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,2006,poseidon,wolfgangpetersen,"markprotosevich ,paulgallico ","joshlucas,kurtrussell,jacindabarrett,richarddreyfuss"
105,Fantasy,based on novel clock queen sequel alice in wonderland,2016,alice through the looking glass,jamesbobin,"lindawoolverton,lewiscarroll(books)","johnnydepp,miawasikowska,helenabonhamcarter,annehathaway"
106,Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,2007,shrek the third,"chrismiller,ramanhui(co-director)","jeffreyprice ,peters.seaman ,chrismiller ,aronwarner ,andrewadamson ,williamsteig(baseduponthebookby)","mikemyers,eddiemurphy,camerondiaz,antoniobanderas"
107,Action Adventure Fantasy,video game elves orcs magic chase,2016,warcraft,duncanjones,"charlesleavitt,duncanjones","travisfimmel,paulapatton,benfoster,dominiccooper"
108,Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,2015,terminator genisys,alantaylor,"laetakalogridis,patricklussier,jamescameron(basedoncharacterscreatedby),galeannehurd(basedoncharacterscreatedby)","arnoldschwarzenegger,jasonclarke,emiliaclarke,jaicourtney"
109,Adventure Family Fantasy,based on novel magic good vs evil king narnia,2010,the chronicles of narnia: the voyage of the dawn treader,michaelapted,"christophermarkus ,stephenmcfeely ,michaelpetroni ,c.s.lewis ","georgiehenley,skandarkeynes,benbarnes,willpoulter"
110,History Romance War,nurse patriotism hawaii world war ii pilot,2001,pearl harbor,michaelbay,randallwallace,"benaffleck,joshhartnett,katebeckinsale,williamleescott"
111,Adventure Science Fiction Action,destroy transformation alien based on toy transformers,2007,transformers,michaelbay,"robertoorci ,alexkurtzman ,johnrogers ,robertoorci ,alexkurtzman ","shialabeouf,meganfox,joshduhamel,tyresegibson"
112,War History Action Adventure Drama,aristotle egypt greece persia elephant,2004,alexander,oliverstone,"oliverstone,christopherkyle,laetakalogridis","anthonyhopkins,davidbedella,jessiekamm,angelinajolie"
113,Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,2007,harry potter and the order of the phoenix,davidyates,"michaelgoldenberg ,j.k.rowling ","danielradcliffe,harrymelling,jasonboyd,richardmacklin"
